các | loài
ngoài ra | anh
ra anh | cũng
anh cũng | rất
cũng rất | thoáng
rất thoáng | miễn
thoáng miễn | sao
miễn sao | hát
sao hát | đúng
hát đúng | lời
đúng lời | còn
lời còn | lại
còn lại | thì
lại thì | ca
thì ca | sĩ
ca sĩ | có
sĩ có | thể
có thể | biến
thể biến | hoá
biến hoá | nhấn
hoá nhấn | nhá
nhấn nhá | tuỳ
nhá tuỳ | thích
tuỳ thích | theo
thích theo | cảm
theo cảm | xúc
những | ca
những ca | khúc
ca khúc | của
khúc của | chị
của chị | thường
chị thường | rất
thường rất | dữ
rất dữ | dội
dữ dội | gđtla
dội gđtla | mơ
gđtla mơ | cuộc
mơ cuộc | lật
cuộc lật | đổ
lật đổ | jovanovic
đổ jovanovic | và
jovanovic và | xie
và xie | hui
xie hui | 18
hui 18 | hai
18 hai | cầu
hai cầu | thủ
cầu thủ | chơi
thủ chơi | hay
chơi hay | nhất
hay nhất | của
nhất của | thân
của thân | hoa
thân hoa | thượng
hoa thượng | hải
thượng hải | trong
hải trong | trận
trong trận | lượt
trận lượt | đi
lượt đi | ảnh
đi ảnh | đức
ảnh đức | duy
đức duy | thua
duy thua | thân
thua thân | hoa
thân hoa | thượng
hoa thượng | hải
thượng hải | 1
hải 1 | 3
1 3 | ở
3 ở | lượt
ở lượt | đi
lượt đi | gđtla
đi gđtla | cần
gđtla cần | thắng
cần thắng | đối
thắng đối | phương
đối phương | từ
phương từ | 2
từ 2 | bàn
2 bàn | cách
bàn cách | biệt
cách biệt | trở
biệt trở | lên
trở lên | mới
lên mới | lọt
mới lọt | vào
lọt vào | vòng
vào vòng | tứ
vòng tứ | kết
tứ kết | giống
kết giống | như
giống như | các
như các | đồ
các đồ | ngọt
đồ ngọt | khác
ngọt khác | chocolate
khác chocolate | kích
chocolate kích | thích
kích thích | sự
thích sự | giải
sự giải | phóng
giải phóng | endorphin
phóng endorphin | một
endorphin một | hoá
một hoá | chất
hoá chất | tự
chất tự | nhiên
tự nhiên | trong
nhiên trong | cơ
trong cơ | thể
cơ thể | tạo
thể tạo | ra
tạo ra | cảm
ra cảm | giác
cảm giác | thoả
giác thoả | mãn
thoả mãn | và
mãn và | khoẻ
và khoẻ | khoắn
khoẻ khoắn | giờ
khoắn giờ | đây
giờ đây | nếu
đây nếu | có
nếu có | người
có người | nộp
người nộp | đơn
nộp đơn | xin
đơn xin | thị
xin thị | thực
thị thực | ở
thực ở | hà
ở hà | nội
hà nội | thì
nội thì | các
thì các | đồng
các đồng | nghiệp
đồng nghiệp | lãnh
nghiệp lãnh | sự
lãnh sự | của
sự của | tôi
của tôi | ở
tôi ở | bất
ở bất | cứ
bất cứ | nơi
cứ nơi | nào
nơi nào | trên
nào trên | thế
trên thế | giới
thế giới | như
giới như | ở
như ở | washington
ở washington | ở
washington ở | berlin
ở berlin | ở
berlin ở | buenos
ở buenos | aires
buenos aires | bất
aires bất | cứ
bất cứ | nơi
cứ nơi | nào
cũng | sẽ
cũng sẽ | được
sẽ được | xem
được xem | những
xem những | thông
những thông | tin
thông tin | về
tin về | người
về người | nộp
người nộp | đơn
nộp đơn | đó
đơn đó | và
đó và | quyết
và quyết | định
quyết định | của
định của | chúng
của chúng | tôi
chúng tôi | mặc
tôi mặc | dù
mặc dù | vậy
dù vậy | những
vậy những | pha
những pha | dứt
pha dứt | điểm
dứt điểm | của
điểm của | đội
của đội | chủ
đội chủ | nhà
chủ nhà | không
nhà không | đủ
không đủ | hiểm
đủ hiểm | hóc
hiểm hóc | để
hóc để | đánh
để đánh | bại
đánh bại | thủ
bại thủ | môn
thủ môn | malaysia
môn malaysia | chỉ
malaysia chỉ | cần
chỉ cần | cuộn
cần cuộn | bánh
cuộn bánh | xe
bánh xe | tới
xe tới | trước
tới trước | âm
trước âm | thanh
âm thanh | tăng
thanh tăng | lên
tăng lên | và
lên và | ngược
và ngược | lại
ngược lại | khoảng
lại khoảng | gần
khoảng gần | chục
gần chục | người
chục người | đang
người đang | ngồi
đang ngồi | quanh
ngồi quanh | chiếc
quanh chiếc | bàn
chiếc bàn | dưới
bàn dưới | gốc
dưới gốc | cây
gốc cây | khi
cây khi | thấy
khi thấy | người
thấy người | lạ
người lạ | thì
lạ thì | một
thì một | người
một người | mặc
người mặc | quần
mặc quần | soọc
quần soọc | áo
soọc áo | tay
áo tay | ngắn
tay ngắn | đứng
ngắn đứng | dậy
đứng dậy | đi
dậy đi | ra
đi ra | hất
ra hất | hàm
hất hàm | hỏi
hàm hỏi | có
hỏi có | chuyện
có chuyện | gì
chuyện gì | anh
gì anh | còn
anh còn | xem
còn xem | bói
xem bói | chỉ
bói chỉ | tay
chỉ tay | rất
tay rất | đắt
rất đắt | khách
đắt khách | các
khách các | module
các module | màn
module màn | hình
màn hình | tinh
hình tinh | thể
tinh thể | lỏng
thể lỏng | dành
lỏng dành | cho
dành cho | máy
cho máy | chiếu
máy chiếu | sẽ
chiếu sẽ | làm
sẽ làm | phổ
làm phổ | biến
phổ biến | rạp
biến rạp | hát
rạp hát | gia
hát gia | đình
gia đình | nhưng
đình nhưng | vì
nhưng vì | tôi
vì tôi | không
tôi không | thuộc
không thuộc | vào
thuộc vào | thế
vào thế | hệ
thế hệ | ấy
hệ ấy | nên
ấy nên | các
nên các | cuộc
các cuộc | gặp
cuộc gặp | gỡ
gặp gỡ | với
gỡ với | tôi
với tôi | thật
tôi thật | đơn
thật đơn | giản
đơn giản | chính
giản chính | quyền
chính quyền | bjp
quyền bjp | đã
bjp đã | duy
đã duy | trì
duy trì | quan
trì quan | hệ
quan hệ | nồng
hệ nồng | ấm
nồng ấm | với
ấm với | nhà
với nhà | trắng
nhà trắng | trong
trắng trong | đó
trong đó | có
đó có | ủng
có ủng | hộ
ủng hộ | trong
hộ trong | cuộc
trong cuộc | chiến
cuộc chiến | chống
chiến chống | khủng
chống khủng | bố
khủng bố | tăng
bố tăng | cường
tăng cường | quan
cường quan | hệ
quan hệ | an
hệ an | ninh
an ninh | và
ninh và | đối
và đối | thoại
đối thoại | về
thoại về | phòng
về phòng | thủ
phòng thủ | tên
thủ tên | lửa
tên lửa | cũng
lửa cũng | như
cũng như | các
như các | hoạt
các hoạt | động
hoạt động | quân
động quân | sự
quân sự | phi
sự phi | hạt
phi hạt | nhân
hạt nhân | cephalosporine
nhân cephalosporine | là
cephalosporine là | loại
là loại | thuốc
loại thuốc | kháng
thuốc kháng | sinh
kháng sinh | khá
sinh khá | thông
khá thông | dụng
thông dụng | dưới
dụng dưới | các
dưới các | tên
các tên | ancef
tên ancef | ducef
ancef ducef | và
ducef và | rocephine
và rocephine | cùng
rocephine cùng | nhiều
cùng nhiều | thuốc
nhiều thuốc | khác
thuốc khác | đau
khác đau | dây
đau dây | thần
dây thần | kinh
thần kinh | tọa
kinh tọa | do
tọa do | lạnh
do lạnh | ông
lạnh ông | trần
ông trần | quang
trần quang | phượng
quang phượng | phó
phượng phó | giám
phó giám | đốc
giám đốc | sở
đốc sở | giao
sở giao | thông
giao thông | công
thông công | chính
công chính | cho
chính cho | rằng
cho rằng | dự
rằng dự | án
dự án | cầu
án cầu | hoàng
cầu hoàng | hoa
hoàng hoa | thám
hoa thám | đang
thám đang | bị
đang bị | vướng
bị vướng | nặng
vướng nặng | nề
nặng nề | nhất
nề nhất | là
nhất là | vấn
là vấn | đề
vấn đề | đền
đề đền | bù
đền bù | giải
bù giải | tỏa
giải tỏa | có
tỏa có | giấy
có giấy | chứng
giấy chứng | nhận
chứng nhận | quyền
nhận quyền | sdđ
quyền sdđ | theo
sdđ theo | qui
theo qui | định
qui định | của
định của | pháp
của pháp | luật
pháp luật | về
luật về | đất
về đất | đai
đất đai | trung
đai trung | tuần
trung tuần | tháng
tuần tháng | 3
tháng 3 | vừa
3 vừa | qua
vừa qua | anh
qua anh | h
anh h | q
h q | t
q t | ngụ
t ngụ | ở
ngụ ở | vĩnh
ở vĩnh | long
vĩnh long | đã
long đã | được
đã được | các
được các | bác
các bác | sĩ
bác sĩ | của
sĩ của | bệnh
của bệnh | viện
bệnh viện | bình
viện bình | dân
bình dân | tp
dân tp | hcm
tp hcm | phẫu
hcm phẫu | thuật
của | quý
của quý | để
quý để | cứu
để cứu | nó
cứu nó | không
nó không | bị
không bị | liệt
bị liệt | vĩnh
liệt vĩnh | viễn
vĩnh viễn | trong
viễn trong | số
trong số | đó
số đó | các
đó các | lâu
các lâu | đài
lâu đài | đẹp
đài đẹp | nhất
đẹp nhất | được
nhất được | xây
được xây | dựng
xây dựng | vào
dựng vào | thời
vào thời | phục
thời phục | hưng
phục hưng | thế
hưng thế | kỷ
thế kỷ | 16
kỷ 16 | như
16 như | amboise
như amboise | azay
amboise azay | le
azay le | rideau
le rideau | blois
rideau blois | chambord
blois chambord | châteaudun
chambord châteaudun | chenonceaux
châteaudun chenonceaux | ussé
chenonceaux ussé | villandry
cũng | như
cũng như | các
như các | lâu
các lâu | đài
lâu đài | thuộc
đài thuộc | thời
thuộc thời | cổ
thời cổ | điển
cổ điển | thế
điển thế | kỷ
thế kỷ | 17
kỷ 17 | 18
17 18 | như
18 như | cheverny
như cheverny | valenay
cheverny valenay | serrant
cùng | các
cùng các | pháo
các pháo | đài
pháo đài | được
đài được | xây
được xây | trong
xây trong | thời
trong thời | trung
thời trung | cổ
trung cổ | thế
cổ thế | kỷ
thế kỷ | 11
kỷ 11 | nửa
11 nửa | thế
nửa thế | kỷ
thế kỷ | 15
kỷ 15 | như
15 như | angers
như angers | chinon
angers chinon | langeais
chinon langeais | loches
langeais loches | sully
dù | gì
dù gì | cũng
gì cũng | là
cũng là | của
là của | mình
của mình | và
mình và | mình
và mình | sẽ
mình sẽ | cố
sẽ cố | gắng
cố gắng | thay
gắng thay | đổi
thay đổi | nó
đổi nó | những
nó những | giờ
những giờ | phút
giờ phút | hiện
phút hiện | nay
hiện nay | của
nay của | em
của em | sẽ
em sẽ | là
sẽ là | những
là những | giây
những giây | phút
giây phút | hạnh
phút hạnh | phúc
hạnh phúc | nhất
phúc nhất | trong
nhất trong | đời
trong đời | đấy
đời đấy | trận
đấy trận | đấu
trận đấu | tiếp
đấu tiếp | theo
tiếp theo | của
theo của | thái
của thái | lan
thái lan | là
lan là | gặp
là gặp | đông
gặp đông | timor
đông timor | và
timor và | một
và một | chiến
một chiến | thắng
chiến thắng | đậm
thắng đậm | là
đậm là | không
là không | phải
không phải | bàn
phải bàn | cãi
bàn cãi | trở
cãi trở | lại
trở lại | với
lại với | diễn
với diễn | biến
diễn biến | trên
biến trên | sân
trên sân | ở
sân ở | trận
ở trận | đấu
trận đấu | này
đấu này | đan
này đan | mạch
đan mạch | chịu
mạch chịu | mất
chịu mất | mát
mất mát | rất
mát rất | lớn
rất lớn | về
lớn về | nhân
về nhân | sự
nhân sự | khi
sự khi | trung
khi trung | phong
trung phong | ebbe
phong ebbe | sand
ebbe sand | vắng
sand vắng | mặt
vắng mặt | do
mặt do | chấn
do chấn | thương
chấn thương | benitez
thương benitez | capello
benitez capello | và
capello và | carlo
và carlo | ancelotti
carlo ancelotti | từng
ancelotti từng | là
từng là | ba
là ba | nhân
ba nhân | vật
nhân vật | được
vật được | real
được real | tích
real tích | cực
tích cực | theo
cực theo | đuổi
theo đuổi | trong
đuổi trong | thời
trong thời | gian
thời gian | qua
gian qua | trên
qua trên | thực
trên thực | tế
thực tế | độ
tế độ | tĩnh
độ tĩnh | không
tĩnh không | của
không của | cầu
của cầu | bình
cầu bình | lợi
bình lợi | vốn
lợi vốn | là
vốn là | cầu
là cầu | sông
cầu sông | cấp
sông cấp | 2
cấp 2 | nay
2 nay | chỉ
nay chỉ | có
chỉ có | khoảng
có khoảng | 3
khoảng 3 | m
3 m | cầu
m cầu | an
cầu an | lộc
an lộc | cầu
lộc cầu | cấp
cầu cấp | 4
